Label,Count,Area,Perimeter,Circularity,Height,Width,Integrated Density,Output
c1,401,393.334165,56.6483791,0.738186,2.78054863,2.78553616,43153.207,0
c2,350,242.948571,45.0336814,0.567702,2.68571429,2.70571429,29101,0
c3,87,279.310345,49.609668,0.731797,10.7011494,10.908046,25007.2184,0
c4,643,98.3856921,30.0737802,0.755229,1.46345257,1.45101089,13836.2317,0
c5,54,175.018519,41.697025,0.5263,17.7592593,17.537037,21278.7963,0
c6,13,1221.07692,100.617582,0.867219,62.0769231,61.4615385,100961.846,0
c7,151,259.860927,50.2382619,0.6291065,6.21192053,6.35099338,30308.7815,0
c8,55,235.181818,44.675972,0.791647,16.2181818,17.2181818,28752.9818,0
c9,9,92.555,26.2732683,0.5967025,97.111,93.333,8197.111,0
c10,11,2279.09091,130.367666,0.722471,64.3636364,49.0909091,171303.364,0
c11,6,189.667,44.3108345,0.8487255,106.666667,101.666667,17045,0
c12,10,768.1,88.4849855,0.869139,82.7,61.3,62685.1,0
hp19,1,5,8.485281,0.872665,3,3,1015,1
hp21,5,1.4,4.8,0.152716,235.952716,226.4,246.8,1
hp22,3,3.333,6.37377333,0.343696,173.6667,204.333,538.6667,1
hp23,1,2,6,0.698132,2,1,1,1
hp24,1,153,62.041631,0.499499,26,10,1,1
hp25,1,373,76.234019,0.806531,27,18,1,1
hp26,2,140.5,45.188077,0.432323,177,173.5,8310.5,1
hp28,65,696.323077,58.4279797,0.602996,14.6769231,14.2153846,76734.5692,1
hp29,11,66,27.6195232,0.956161,71.3636364,79.6363636,7798.63636,1
hp30,112,845.035714,62.2900535,0.589833,8.32142857,8.17857143,89082.3929,1
hp31,342,881.95614,62.7162404,0.301219,2.70760234,2.78070175,95392.4766,1
hp32,218,466.449541,48.5792615,0.628858,4.18807339,4.17889908,48946.8624,1
hp33,614,396.070033,40.0780502,0.571505,1.52442997,1.46416938,50661.7834,1
hp34,591,1002.60914,37.4333367,0.785398,1.62774958,1.60913706,156912.86,1
hp50,97,180.905245,41.7902285,0.785398,7.54639175,7.16494845,108553.34,1
hp52,223,1058.0852,52.7201682,0.508857,4.13901345,4.44843049,96826.9507,1
hp53,323,541.229102,42.9343,0.465773,2.88544892,3.17647059,55373.3065,1
hp54,48,70.3958333,28.5488719,0.745216,21.0208333,20.58333,7205.64583,1
hp55,66,332.045455,44.8606185,0.744119,14,14.212121212,39022.7424,1
hp56,8,1333.75,66.0028634,0.480915,90.875,148.125,91610.5,1
